#melhor.pose.x;melhor.pose.y;melhor.pose.z;melhor.ypr.x;melhor.ypr.y;melhor.ypr.z;pior.pose.x;pior.pose.y;pior.pose.z;pior.ypr.x;pior.ypr.y;pior.ypr.z;media.pose.x;media.pose.y;media.pose.z;media.ypr.x;media.ypr.y;media.ypr.z;
-14.7727;12.7394;-48.9155;-0.0523428;0.0556436;2.42255;-7.88629;8.81388;-7.01355;0.016519;-0.166593;2.56539;-13.3103;10.8343;-39.6676;0.000498728;0.000417202;2.45108;
-15.4776;13.3774;-49.0708;-0.048037;0.0588478;2.41663;-8.7379;9.45628;-6.9831;0.0235847;-0.169564;2.54195;-14.1032;11.4502;-40.0699;0.00116526;0.00192906;2.45201;
-16.1745;14.1001;-49.274;-0.0504773;0.0476516;2.41536;-9.52058;10.0598;-6.77485;0.0258334;-0.172973;2.54189;-15.0264;12.1196;-40.0304;0.00243042;0.00338036;2.45016;
-16.8907;14.7383;-49.3931;-0.0532615;0.0582054;2.4113;-10.2751;10.6059;-6.63958;0.0223042;-0.171775;2.54914;-15.6986;12.7453;-39.5537;0.0044331;0.00148521;2.45006;
-18.6313;15.2897;-48.7891;-0.0106113;0.0175906;2.38283;-11.0895;11.1828;-6.58211;0.0182193;-0.172635;2.54617;-16.5821;13.387;-40.0606;0.00260537;0.000167782;2.45137;
-19.257;15.9738;-49.0231;-0.00616864;0.0236134;2.37135;-11.8772;11.7884;-6.50783;0.0183278;-0.18201;2.56002;-17.7211;14.0717;-40.7509;0.00102088;-0.000375781;2.44997;
-20.2324;16.8671;-49.11;-0.00420065;0.0196105;2.37555;-10.0627;17.5537;-36.4594;-0.035936;0.00589336;2.30424;-18.4853;14.8539;-40.594;0.00317079;0.000394841;2.44976;
-21.3384;17.9773;-49.1785;-0.00522906;0.0183754;2.36989;-10.8728;18.6442;-36.4964;-0.0357895;0.0108795;2.31029;-19.7053;15.757;-40.5441;0.0027988;-0.000477681;2.45158;
-22.7045;18.6891;-48.3838;-0.14661;-0.0180773;2.36885;-11.8163;19.7933;-36.6695;-0.0509609;-0.00715217;2.30953;-20.9348;16.7269;-40.8083;0.00288588;0.00033833;2.45215;
-23.8737;19.9345;-48.5829;-0.151354;-0.0215653;2.35833;-12.9112;21.2026;-36.721;-0.0460699;-0.00698227;2.29854;-22.086;17.8028;-40.5275;0.00123114;0.00156138;2.45201;
-25.247;21.1913;-48.4889;-0.133811;-0.00646637;2.36498;-14.1476;22.5794;-36.8997;-0.0407035;0.000257361;2.3027;-23.6668;18.9923;-40.783;0.0026012;0.000220085;2.45202;
-26.6138;22.6059;-48.3771;-0.132009;-0.0127272;2.35288;-15.4357;23.9015;-36.8869;-0.0462105;0.00665357;2.29501;-25.1636;20.2649;-41.0363;0.00230164;-7.64484e-05;2.45054;
-28.2287;24.1676;-48.5478;-0.164486;-0.0241508;2.37488;-16.6889;25.3449;-36.9372;-0.0470157;0.00179615;2.29803;-26.7191;21.4851;-40.9324;0.00217738;-0.00362316;2.45304;
-29.579;25.585;-48.609;-0.177355;-0.019574;2.37203;-18.1764;26.8517;-37.3151;-0.0302483;0.0113675;2.31852;-28.1954;22.7582;-40.8501;0.00158721;-0.00595552;2.45307;
-30.8546;27.0048;-48.6966;-0.143107;0.0064887;2.3603;-19.6336;28.3828;-37.2061;-0.0293574;0.019089;2.3433;-30.0181;23.9561;-41.1214;-0.00118405;-0.00921354;2.45589;
-31.8878;28.3588;-43.8896;-0.0293259;-0.0422929;2.33351;-21.1157;28.4789;-35.5447;0.0185089;-0.0133386;2.31849;-31.7965;25.2852;-41.6394;-0.00177364;-0.0100781;2.45505;
-33.2205;29.8103;-43.8546;-0.00826346;-0.0306543;2.34113;-22.3903;31.1347;-37.6086;-0.0272376;0.0306959;2.37312;-33.2961;26.5863;-41.9797;-0.000335018;-0.00961505;2.4557;
-34.4893;31.137;-43.6325;-0.0314368;-0.0663799;2.34378;-23.9108;33.1259;-37.9436;-0.0747861;0.0300791;2.29652;-35.001;27.8225;-42.0526;0.000500982;-0.00909952;2.45665;
-35.8716;32.5814;-43.6022;-0.030288;-0.0745585;2.33934;-35.7019;32.3641;-58.1055;-0.0757152;0.205936;2.34116;-36.6447;29.1119;-42.4587;-0.000768925;-0.00937014;2.45635;
-37.3928;33.8537;-43.5105;-0.0336314;-0.0763126;2.4025;-37.0617;33.7808;-58.6728;-0.0707329;0.197116;2.43225;-38.312;30.4064;-43.4679;-0.00219652;-0.0102191;2.52046;
-38.8115;34.9595;-43.4989;-0.00218419;-0.0490463;2.47622;-38.6133;34.8465;-59.1453;-0.0700631;0.210269;2.51225;-40.2185;31.5419;-44.3652;-0.00320871;-0.0101328;2.61918;
-40.5131;36.0951;-43.552;0.00198068;-0.041549;2.5835;-38.4724;27.1424;-37.8072;-0.0770172;-0.0193565;2.88918;-42.0894;32.383;-44.4451;-0.00462746;-0.0120604;2.71803;
-42.4604;36.7544;-42.864;-0.0278986;-0.0901935;2.6777;-49.1645;27.3929;-51.363;-0.0466395;0.0246013;2.98049;-44.1143;32.9687;-44.7488;-0.0080775;-0.0106903;2.81977;
-44.3044;37.3672;-42.8579;-0.0419551;-0.0752434;2.78879;-51.0974;27.4209;-51.7272;-0.0540661;0.0287137;3.08532;-46.0307;33.4833;-44.8296;-0.0086253;-0.011147;2.91823;
-46.2451;37.7868;-42.7769;-0.0641625;-0.0734052;2.8858;-53.1065;27.3535;-51.9349;-0.0458958;0.0313338;3.19917;-48.1572;33.8378;-45.4369;-0.00784085;-0.0123684;3.02741;
-48.1978;38.0232;-42.5557;-0.0372755;-0.112504;2.98916;-55.0979;27.0635;-52.1473;-0.0395871;0.0221465;3.29847;-50.2884;33.9061;-45.7206;-0.00626815;-0.0143928;3.1273;
-50.2116;38.2554;-42.4304;-0.0399668;-0.102958;-3.19994;-57.0112;26.5175;-52.2743;-0.0480437;0.0276834;-2.86961;-52.3204;33.6952;-45.8568;-0.00893933;-0.0118941;-3.05615;
-52.2777;38.1103;-42.3807;-0.0285811;-0.0941158;-3.11211;-59.0099;25.9413;-51.7552;-0.0463212;8.62673e-05;-2.7835;-54.2784;33.5954;-46.0966;-0.0107005;-0.0164504;-2.96097;
-53.9523;37.8517;-42.5193;-0.025474;-0.108111;-3.00643;-58.098;30.1864;-56.2227;-0.0118017;0.125056;-2.80989;-56.1737;33.1715;-46.2359;-0.00797717;-0.018874;-2.86349;
-55.843;37.1956;-43.8763;0.00423735;-0.0426365;-2.91366;-59.8015;29.3152;-56.6319;-0.00842027;0.124517;-2.71871;-58.078;32.5701;-46.5864;-0.00597494;-0.0208667;-2.76621;
-57.7868;36.5749;-43.9414;0.0111628;-0.0558503;-2.81305;-65.0021;26.7566;-54.3975;0.039048;0.0497764;-2.56807;-59.7825;31.8659;-46.4755;-0.005314;-0.0221606;-2.66947;
-59.6637;35.816;-43.8933;0.00727584;-0.0467771;-2.70614;-66.579;25.3948;-54.6316;0.0351584;0.0449296;-2.45962;-61.5096;30.7551;-46.2063;-0.00489368;-0.0270751;-2.56908;
-61.348;34.8606;-43.8532;0.0145796;-0.0299338;-2.61192;-67.9578;23.9633;-54.9221;0.0262225;0.0464319;-2.3693;-62.7538;29.8159;-45.2993;-0.0094805;-0.0339231;-2.47597;
-62.6477;33.4707;-43.9542;-0.00263422;-0.0502869;-2.49595;-68.6936;23.056;-55.6586;0.0142589;0.0710761;-2.28506;-64.2315;28.5911;-45.1674;-0.00729115;-0.039635;-2.37887;
-64.5103;32.2167;-43.9659;0.00904212;-0.0389665;-2.38816;-69.8074;21.4131;-55.9267;0.0141957;0.0769737;-2.18695;-65.4924;27.3233;-45.2177;-0.00916091;-0.039833;-2.28242;
-66.4857;29.1606;-42.0297;-0.00281563;-0.0545107;-2.25454;-70.7483;19.7372;-56.1662;0.0201845;0.0756771;-2.08139;-66.5405;25.9294;-44.7452;-0.0127178;-0.0434916;-2.18596;
-67.4859;27.4793;-41.9898;-0.00363917;-0.0548661;-2.1489;-71.5318;17.867;-56.4304;0.0321577;0.0659013;-1.96593;-67.5022;24.3874;-44.5894;-0.017642;-0.0457779;-2.08765;
-67.8211;26.1441;-41.4382;-0.017264;-0.0611235;-2.03878;-72.9095;16.0239;-53.4479;-0.0101316;0.0600346;-1.88241;-68.2631;22.6867;-44.9619;-0.0154034;-0.0461561;-1.98026;
-68.4645;24.1018;-41.3535;-0.0127992;-0.0602794;-1.94618;-73.3374;14.1021;-53.7656;-0.0149102;0.049725;-1.77841;-69.0799;20.9991;-44.8525;-0.0169119;-0.0514269;-1.88292;
-69.1303;22.1643;-41.3688;-0.0202934;-0.0627007;-1.84615;-73.5406;12.0914;-53.9411;-0.0202972;0.0514212;-1.6792;-69.5191;19.433;-44.8215;-0.0166038;-0.0573873;-1.7875;
-69.5192;20.558;-41.3862;-0.00813059;-0.0773704;-1.75815;-73.6724;10.0398;-54.0454;-0.0168492;0.0538732;-1.57908;-69.6422;17.5591;-44.6174;-0.0171415;-0.0577716;-1.68912;
-69.9053;17.3824;-40.9949;-0.0516205;-0.0945083;-1.61118;-72.9394;6.12088;-44.4266;0.0164024;-0.083975;-1.45848;-69.7315;15.7449;-44.5677;-0.0193501;-0.0602498;-1.59132;
